Index,Original,Modified
1567,04/30/2020,2020-04-30
1569,04/28/2020,2020-04-28
1571,04/27/2020,2020-04-27
1572,05/20/2020,2020-05-20
1573,05/03/2020,2020-05-03
1574,05/21/2020,2020-05-21
1575,05/05/2020,2020-05-05
1576,04/28/2020,2020-04-28
1578,04/28/2020,2020-04-28
1579,04/28/2020,2020-04-28
1580,04/06/2020,2020-04-06
1582,04/28/2020,2020-04-28
1585,04/07/2020,2020-04-07
1589,05/07/2020,2020-05-07
1592,07/14/2020,2020-07-14
1597,05/12/2020,2020-05-12
1598,05/02/2020,2020-05-02
1600,04/08/2020,2020-04-08
1602,04/15/2020,2020-04-15
1607,04/05/2020,2020-04-05
1609,07/14/2020,2020-07-14
1611,04/07/2020,2020-04-07
1613,05/04/2020,2020-05-04
1616,04/15/2020,2020-04-15
1618,04/30/2020,2020-04-30
1619,04/30/2020,2020-04-30
1620,06/09/2020,2020-06-09
1623,04/29/2020,2020-04-29
1624,04/06/2020,2020-04-06
1626,04/27/2020,2020-04-27
1628,04/28/2020,2020-04-28
1632,06/17/2020,2020-06-17
1637,04/29/2020,2020-04-29
1639,04/05/2020,2020-04-05
1640,05/04/2020,2020-05-04
1641,04/27/2020,2020-04-27
1642,05/07/2020,2020-05-07
1643,04/04/2020,2020-04-04
1646,04/08/2020,2020-04-08
1648,05/01/2020,2020-05-01
1649,04/27/2020,2020-04-27
1650,05/01/2020,2020-05-01
1651,04/08/2020,2020-04-08
1652,04/30/2020,2020-04-30
1653,04/30/2020,2020-04-30
1656,04/13/2020,2020-04-13
1657,04/09/2020,2020-04-09
1661,04/09/2020,2020-04-09
1663,07/23/2020,2020-07-23
1666,04/29/2020,2020-04-29
1670,04/30/2020,2020-04-30
1671,05/01/2020,2020-05-01
1673,04/28/2020,2020-04-28
1674,06/28/2020,2020-06-28
1675,04/29/2020,2020-04-29
1677,05/08/2020,2020-05-08
1678,04/12/2020,2020-04-12
1684,04/15/2020,2020-04-15
1686,04/12/2020,2020-04-12
1687,05/01/2020,2020-05-01
1688,04/30/2020,2020-04-30
1690,04/30/2020,2020-04-30
1691,04/15/2020,2020-04-15
1694,04/30/2020,2020-04-30
1695,04/06/2020,2020-04-06
1696,04/16/2020,2020-04-16
1697,04/28/2020,2020-04-28
1698,04/15/2020,2020-04-15
1702,05/15/2020,2020-05-15
1703,04/28/2020,2020-04-28
1706,05/01/2020,2020-05-01
1707,04/04/2020,2020-04-04
1708,04/08/2020,2020-04-08
1712,04/28/2020,2020-04-28
1713,04/12/2020,2020-04-12
1715,04/30/2020,2020-04-30
1716,04/12/2020,2020-04-12
1718,05/15/2020,2020-05-15
1719,04/10/2020,2020-04-10
1720,04/15/2020,2020-04-15
1721,04/14/2020,2020-04-14
1723,06/01/2020,2020-06-01
1724,04/08/2020,2020-04-08
1729,05/08/2020,2020-05-08
1732,07/11/2020,2020-07-11
1738,04/10/2020,2020-04-10
1741,04/27/2020,2020-04-27
1743,05/20/2020,2020-05-20
1744,04/28/2020,2020-04-28
1748,05/20/2020,2020-05-20
1749,04/10/2020,2020-04-10
1750,08/04/2020,2020-08-04
1751,04/08/2020,2020-04-08
1753,05/21/2020,2020-05-21
1755,05/14/2020,2020-05-14
1756,05/14/2020,2020-05-14
1759,05/08/2020,2020-05-08
1761,05/07/2020,2020-05-07
1764,04/30/2020,2020-04-30
1767,04/05/2020,2020-04-05
1771,05/02/2020,2020-05-02
1772,04/30/2020,2020-04-30
1773,05/20/2020,2020-05-20
1777,04/29/2020,2020-04-29
1779,04/14/2020,2020-04-14
1780,04/08/2020,2020-04-08
1781,04/07/2020,2020-04-07
1786,04/15/2020,2020-04-15
1790,04/29/2020,2020-04-29
1791,04/28/2020,2020-04-28
1793,04/10/2020,2020-04-10
1795,04/28/2020,2020-04-28
1799,04/15/2020,2020-04-15
1800,04/11/2020,2020-04-11
1801,05/16/2020,2020-05-16
1806,04/03/2020,2020-04-03
1809,05/22/2020,2020-05-22
1811,05/01/2020,2020-05-01
1816,04/28/2020,2020-04-28
1817,04/14/2020,2020-04-14
1820,04/15/2020,2020-04-15
1823,04/15/2020,2020-04-15
1824,04/30/2020,2020-04-30
1826,06/17/2020,2020-06-17
1828,04/13/2020,2020-04-13
1830,04/14/2020,2020-04-14
1835,04/10/2020,2020-04-10
1836,05/02/2020,2020-05-02
1838,05/06/2020,2020-05-06
1840,05/01/2020,2020-05-01
1842,04/14/2020,2020-04-14
1844,05/14/2020,2020-05-14
1845,04/29/2020,2020-04-29
1846,04/27/2020,2020-04-27
1847,04/07/2020,2020-04-07
1848,04/14/2020,2020-04-14
1849,05/05/2020,2020-05-05
1850,05/12/2020,2020-05-12
1851,04/27/2020,2020-04-27
1855,04/29/2020,2020-04-29
1856,06/17/2020,2020-06-17
1859,05/13/2020,2020-05-13
1860,04/10/2020,2020-04-10
1861,04/29/2020,2020-04-29
1862,05/18/2020,2020-05-18
1863,04/28/2020,2020-04-28
1864,04/27/2020,2020-04-27
1867,05/02/2020,2020-05-02
1870,04/30/2020,2020-04-30
1876,04/29/2020,2020-04-29
1877,04/05/2020,2020-04-05
1879,04/29/2020,2020-04-29
1880,05/12/2020,2020-05-12
1881,04/15/2020,2020-04-15
1882,04/27/2020,2020-04-27
1883,04/15/2020,2020-04-15
1884,04/14/2020,2020-04-14
1887,05/04/2020,2020-05-04
1891,04/14/2020,2020-04-14
1892,05/03/2020,2020-05-03
1893,05/08/2020,2020-05-08
1897,04/28/2020,2020-04-28
1898,04/11/2020,2020-04-11
1899,04/29/2020,2020-04-29
1900,04/30/2020,2020-04-30
1902,05/03/2020,2020-05-03
1907,04/04/2020,2020-04-04
1910,05/08/2020,2020-05-08
1916,04/30/2020,2020-04-30
1917,05/20/2020,2020-05-20
1919,05/18/2020,2020-05-18
1920,04/13/2020,2020-04-13
1922,05/12/2020,2020-05-12
1923,05/04/2020,2020-05-04
1924,04/16/2020,2020-04-16
1925,05/20/2020,2020-05-20
1926,04/07/2020,2020-04-07
1927,05/05/2020,2020-05-05
1930,04/06/2020,2020-04-06
1939,04/13/2020,2020-04-13
1941,04/08/2020,2020-04-08
1942,04/29/2020,2020-04-29
1943,04/15/2020,2020-04-15
1944,06/01/2020,2020-06-01
1945,04/05/2020,2020-04-05
1946,05/04/2020,2020-05-04
1949,04/10/2020,2020-04-10
1950,05/04/2020,2020-05-04
1951,05/04/2020,2020-05-04
1952,04/29/2020,2020-04-29
1957,04/07/2020,2020-04-07
1958,04/13/2020,2020-04-13
1966,05/02/2020,2020-05-02
1969,04/15/2020,2020-04-15
1971,05/08/2020,2020-05-08
1973,06/08/2020,2020-06-08
1975,04/09/2020,2020-04-09
1976,04/14/2020,2020-04-14
1977,05/01/2020,2020-05-01
1981,04/30/2020,2020-04-30
1982,06/30/2020,2020-06-30
1983,07/15/2020,2020-07-15
1985,05/04/2020,2020-05-04
1988,04/29/2020,2020-04-29
1995,05/15/2020,2020-05-15
1996,04/09/2020,2020-04-09
1997,04/15/2020,2020-04-15
